Gene Id. ,Put1,Put2,Put3,Put avg Fold change,Put Log Fold change,P-val Put,tSpm1,tSpm2,tSpm3,tSpm avg Fold change,tSpm Log Fold change,P-val tSpm
AT1G59860,"3,61","2,50","3,14","3,08","1,62","9,77E-08","1,63","1,76","1,36","1,58","0,66",
AT1G09543,"3,22","2,22","3,95","3,13","1,65","9,05E-07","2,30","1,73","0,89","1,64","0,71",
AT2G43880,"3,29","2,20","3,96","3,15","1,66","1,07E-10","4,06","3,13","4,03","3,74","1,90","3,33E-16"
AT4G09110,"3,28","2,25","3,70","3,08","1,62","2,24E-07","4,57","3,34","4,17","4,02","2,01","4,63E-08"
AT4G18950,"3,88","2,94","3,90","3,57","1,84","0,00E+00","4,41","3,39","4,09","3,96","1,99","0,00E+00"
AT1G14250,"3,29","2,84","3,94","3,36","1,75","8,95E-08","2,70","1,60","1,80","2,04","1,03",
AT1G13530,"3,27","2,34","3,37","2,99","1,58","9,27E-10","0,73","1,09","2,01","1,28","0,35",
AT2G36690,"3,07","2,94","3,77","3,26","1,70","1,11E-16","3,61","2,32","3,37","3,10","1,63","0,00E+00"
AT2G19190,"3,15","2,40","3,04","2,86","1,52","6,55E-07","1,32","0,77","0,85","0,98","-0,03",
AT5G12340,"3,52","2,88","3,76","3,39","1,76","3,22E-12","3,71","2,80","3,47","3,33","1,73","1,58E-12"
AT5G55090,"3,53","2,41","3,80","3,25","1,70","3,41E-09","3,78","2,64","3,81","3,41","1,77","8,60E-13"
AT1G72416,"3,46","2,24","3,50","3,07","1,62","0,00E+00","4,70","3,13","4,40","4,08","2,03","5,16E-09"
AT5G49480,"3,39","2,56","3,90","3,28","1,72","0,00E+00","3,26","2,50","3,49","3,08","1,62","0,00E+00"
AT2G43375,"3,78","2,19","3,57","3,18","1,67","6,55E-15","1,88","1,43","2,97","2,09","1,06",
AT4G01250,"3,81","2,25","3,25","3,10","1,63","0,00E+00","4,69","3,99","4,48","4,38","2,13","0,00E+00"
AT5G48850,"3,06","2,57","3,69","3,11","1,64","6,97E-08","1,15","2,27","0,99","1,47","0,56",
AT1G65295,"3,13","2,88","3,95","3,32","1,73","0,00E+00","2,32","2,30","1,17","1,93","0,95",
AT4G18260,"3,54","2,16","3,70","3,13","1,65","1,52E-14","1,42","1,38","2,62","1,81","0,85",
AT5G24660,"3,47","2,85","3,49","3,27","1,71","6,81E-13","0,82","0,84","1,44","1,03","0,05",
AT2G25735,"3,24","2,74","3,88","3,28","1,72","1,71E-13","3,71","2,01","3,11","2,94","1,56","2,99E-12"
AT4G39675,"3,65","2,24","3,97","3,29","1,72","7,01E-11","0,62","0,94","1,44","1,00","0,00",
AT2G02680,"3,49","2,16","3,54","3,06","1,61","0,00E+00","4,96","3,16","4,12","4,08","2,03","0,00E+00"
AT2G04040,"3,12","2,17","3,60","2,96","1,57","2,25E-08","0,87","1,56","1,52","1,31","0,39",
AT2G39675,"3,97","2,14","3,96","3,36","1,75","1,61E-13","2,12","0,94","0,75","1,27","0,34",
AT3G44300,"3,33","2,76","3,68","3,26","1,70","1,61E-09","1,00","1,44","1,23","1,22","0,29",
AT5G45070,"3,58","2,59","3,10","3,09","1,63","0,00E+00","4,11","3,16","4,92","4,06","2,02","0,00E+00"
AT1G44050,"3,14","2,67","3,55","3,12","1,64","1,64E-06","1,53","1,59","2,13","1,75","0,81",
AT4G37370,"3,34","2,07","3,46","2,96","1,56","1,25E-11","1,60","2,65","2,03","2,09","1,07",
AT1G60750,"3,61","2,91","3,85","3,46","1,79","7,40E-09","4,11","3,92","4,39","4,14","2,05","3,08E-12"
AT3G52450,"3,27","2,45","3,03","2,92","1,54","0,00E+00","3,10","2,97","3,19","3,09","1,63","0,00E+00"
AT3G60140,"3,79","2,34","3,49","3,20","1,68","9,91E-07","2,48","0,76","2,12","1,79","0,84",
AT5G39580,"3,27","2,50","3,40","3,06","1,61","2,91E-12","4,29","3,85","4,88","4,34","2,12","3,19E-13"
