"my_symbol","my_go"
"FOX4","GO:0005618"
"FOX4","GO:0016491"
"FOX4","GO:0071949"
"FOX4","GO:0050660"
"FOX4","GO:0005576"
"FOX4","GO:0000166"
"FOX4","GO:0071456"
"FOX5","GO:0005618"
"FOX5","GO:0016491"
"FOX5","GO:0071949"
"FOX5","GO:0050660"
"FOX5","GO:0005576"
"FOX5","GO:0000166"
"GLIP4","GO:0016298"
"GLIP4","GO:0016788"
"GLIP4","GO:0006629"
"GLIP4","GO:0016042"
"GLIP4","GO:0005576"
"GLIP4","GO:0016787"
"IGMT2","GO:0008171"
"IGMT2","GO:0032259"
"IGMT2","GO:0019438"
"IGMT2","GO:0008757"
"IGMT2","GO:0008168"
"IGMT2","GO:0046983"
"IGMT2","GO:0016740"
"IGMT2","GO:0042343"
"IGMT2","GO:1990110"
"LSU1","GO:0010438"
"LSU1","GO:0009651"
"LSU1","GO:0098869"
"LSU1","GO:0005515"
"MLO12","GO:0006952"
"MLO12","GO:0016021"
"MLO12","GO:0005516"
"MLO12","GO:0009607"
"MLO12","GO:0016020"
"MLO12","GO:0010150"
"MLO12","GO:0005886"
"MLO12","GO:0050832"
"MLO12","GO:0005515"
"PER5","GO:0020037"
"PER5","GO:0006979"
"PER5","GO:0004601"
"PER5","GO:0042744"
"PER5","GO:0005576"
"PER5","GO:0016491"
"PER5","GO:0046872"
"PER5","GO:0071456"
"PER5","GO:0098869"
"GAT1_2.1","GO:0016787"
"GAT1_2.1","GO:0016740"
"GAT1_2.1","GO:0006541"
"GAT1_2.1","GO:0005575"
"GAT1_2.1","GO:2000032"
"PER4","GO:0020037"
"PER4","GO:0006979"
"PER4","GO:0004601"
"PER4","GO:0042744"
"PER4","GO:0005576"
"PER4","GO:0016491"
"PER4","GO:0046872"
"PER4","GO:0071456"
"PER4","GO:0098869"
"T3F20.5","GO:0005575"
"T3F20.5","GO:0008150"
"MJE7.6","GO:0004190"
"MJE7.6","GO:0006508"
"MJE7.6","GO:0008233"
"MJE7.6","GO:0016787"
"LSU3","GO:0098869"
"LSU3","GO:0005575"
"ZAT11","GO:0010200"
"ZAT11","GO:0005634"
"ZAT11","GO:0046872"
"ZAT11","GO:0003700"
"ZAT11","GO:0000976"
"ZAT11","GO:2000280"
"ZAT11","GO:0006355"
"ZAT11","GO:0071289"
"At5g12340","GO:0009620"
"MAPKKK15","GO:0005524"
"MAPKKK15","GO:0004672"
"MAPKKK15","GO:0006468"
"MAPKKK15","GO:0016301"
"MAPKKK15","GO:0016310"
"MAPKKK15","GO:0004674"
"MAPKKK15","GO:0016740"
"MAPKKK15","GO:0000166"
"At1g72416","GO:0016020"
"At1g72416","GO:0016021"
"CP1","GO:0005509"
"CP1","GO:0005737"
"CP1","GO:0046872"
"CP1","GO:0042538"
"CP1","GO:0005829"
"CP1","GO:0009536"
"WRKY22","GO:0000976"
"WRKY22","GO:0003700"
"WRKY22","GO:0005634"
"WRKY22","GO:0043565"
"WRKY22","GO:0006355"
"WRKY22","GO:0006952"
"WRKY22","GO:0003677"
"WRKY22","GO:0010200"
"WRKY22","GO:0010150"
"WRKY22","GO:0071456"
"At2g25735","GO:0005886"
"At2g25735","GO:0071456"
"At2g02680","GO:0035556"
"At2g02680","GO:0046872"
"PP2A8","GO:0007165"
